Date,AFL,ALB,AOS,APD,ATO,BFB,BRO,CHRW,CINF,CLX,CL,CVX,DOV,ESS,EXPD,FRT,GWW,HRL,IBM,ITW,JNJ,KMB,KO,LOW,MKC,MMM,NUE,NVDA,O,PNR,PPG,ROP,SPGI,SWK,SYY,TGT,TROW,WMT,WST,XOM
2020-07,0.0,0.0,0.24,0.0,0.0,0.0,0.0,0.0,0.0,1.11,0.44,0.0,0.0,0.0,0.0,0.0,0.0,0.233,0.0,0.0,0.0,0.0,0.0,0.55,0.31,0.0,0.0,0.0,0.226744,0.19,0.0,0.513,0.0,0.0,0.45,0.0,0.0,0.0,0.16,0.0
2020-08,0.28,0.0,0.0,0.0,0.575,0.0,0.085,0.0,0.0,0.0,0.0,1.29,0.495,0.0,0.0,0.0,1.53,0.0,1.558317,0.0,1.01,0.0,0.0,0.0,0.0,1.47,0.0,0.0,0.226744,0.0,0.54,0.0,0.67,0.7,0.0,0.68,0.0,0.18,0.0,0.87
2020-09,0.0,0.385,0.0,1.34,0.0,0.174,0.0,0.51,0.6,0.0,0.0,0.0,0.0,2.078,0.0,1.06,0.0,0.0,0.0,1.14,0.0,1.07,0.41,0.0,0.0,0.0,0.403,0.04,0.226744,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.0,0.0,0.0
2020-10,0.0,0.0,0.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.44,0.0,0.0,0.0,0.0,0.0,0.0,0.233,0.0,0.0,0.0,0.0,0.0,0.6,0.31,0.0,0.0,0.0,0.226744,0.19,0.0,0.513,0.0,0.0,0.45,0.0,0.0,0.0,0.0,0.0
2020-11,0.28,0.0,0.0,0.0,0.625,0.0,0.093,0.0,0.0,1.11,0.0,1.29,0.495,0.0,0.52,0.0,1.53,0.0,1.558317,0.0,1.01,0.0,0.41,0.0,0.0,1.47,0.0,0.0,0.226744,0.0,0.54,0.0,0.67,0.7,0.0,0.68,0.0,0.0,0.17,0.87
2020-12,0.0,0.385,0.0,1.34,0.0,0.18,0.0,0.51,0.6,0.0,0.0,0.0,0.0,2.078,0.0,1.06,0.0,0.0,0.0,1.14,0.0,1.07,0.0,0.0,0.34,0.0,0.405,0.04,0.227713,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.18,0.0,0.0
2021-01,0.0,0.0,0.26,0.0,0.0,0.0,0.0,0.0,0.0,1.11,0.44,0.0,0.0,0.0,0.0,0.0,0.0,0.245,0.0,0.0,0.0,0.0,0.0,0.6,0.0,0.0,0.0,0.0,0.227713,0.2,0.0,0.563,0.0,0.0,0.45,0.0,0.0,0.0,0.17,0.0
2021-02,0.33,0.0,0.0,0.0,0.625,0.0,0.093,0.0,0.0,0.0,0.0,1.29,0.495,0.0,0.0,0.0,1.53,0.0,1.558317,0.0,1.01,0.0,0.0,0.0,0.0,1.48,0.0,0.0,0.227713,0.0,0.54,0.0,0.77,0.0,0.0,0.68,0.0,0.0,0.0,0.87
2021-03,0.0,0.39,0.0,1.5,0.0,0.18,0.0,0.51,0.63,0.0,0.0,0.0,0.0,2.09,0.0,1.06,0.0,0.0,0.0,1.14,0.0,1.14,0.42,0.0,0.0,0.0,0.405,0.04,0.227713,0.0,0.0,0.0,0.0,0.7,0.45,0.0,1.08,0.183333,0.0,0.0
2021-04,0.0,0.0,0.26,0.0,0.0,0.0,0.0,0.0,0.0,1.11,0.45,0.0,0.0,0.0,0.0,0.0,0.0,0.245,0.0,0.0,0.0,0.0,0.0,0.6,0.34,0.0,0.0,0.0,0.227713,0.2,0.0,0.563,0.0,0.0,0.0,0.0,0.0,0.0,0.17,0.0
