Date,AFL,ALB,AOS,APD,ATO,BF-B,BRO,CHRW,CINF,CL,CLX,CVX,DOV,ESS,EXPD,FRT,GWW,HRL,IBM,ITW,JNJ,KMB,KO,LOW,MKC,MMM,NUE,NVDA,O,PNR,PPG,ROP,SPGI,SWK,SYY,TGT,TROW,WMT,WST,XOM
2019-04,1033.589995,1716.000008,1158.429997,4115.830015,2113.140004,1114.230004,641.839998,1862.44001,1847.7900079999997,1448.4700010000001,3260.929976,2564.859993,2030.039992,5961.630005000001,1656.49999,2837.709977,6361.319976,862.330006,2846.8356320000003,3233.699982,2892.680007,2598.460001,991.609997,2390.600011,1603.48,3700.802703,1228.210006,982.487493,1437.034868,853.890003,2438.269999,7329.380037,4535.469987,3029.520018,1443.300003,1696.610007,2218.200013,706.296665,2419.069994,1713.319992
2019-05,1126.060007,1542.930011,1031.919984,4519.669997,2243.309998,1142.550002,699.519998,1792.350019,2137.160002,1567.37999,3264.910034,2617.989975,2081.939995,6269.429929999999,1624.320014,2883.609985,5894.699949,869.110013,2835.2868120000003,3286.330032,3038.219987,2824.790008,1072.959998,2289.610008,1698.445,3171.0367710000005,1185.829993,879.767502,1473.769371,811.649998,2445.55999,7773.21005,4728.130005,3039.770018,1616.030007,1663.449997,2286.179976,743.299998,2602.599999,1660.719996
2019-06,1088.309999,1391.3500060000001,898.810006,4406.709976,2094.180009,1105.359992,656.070007,1644.03,2060.969993,1456.459998,3098.120026,2434.920012,1931.5300070000003,5926.349975,1474.309992,2637.1999809999998,5423.909943,823.329995,2594.225622,2991.019989,2789.600006,2701.339999,1023.079998,1964.309998,1555.215,2826.145494,1047.62,748.342494,1391.686049,724.1900049999999,2298.339996,7258.279997999999,4497.079986,2807.729999,1424.199989,1730.6599939999999,2122.979993,721.566675,2414.580016,1502.869979
2019-07,1218.3899940000001,1594.470008,991.830006,5017.069995,2362.989999,1228.810001,773.87,1848.169999,2354.820008,1612.619979,3514.380005,2741.499996,2179.51998,6634.279999000001,1646.8800030000002,2877.44001,6074.450045,907.3700079999999,3056.7782,3340.520004,2965.980027,3014.039992,1154.139999,2285.440019,1754.285,3194.774278,1218.959998,923.902508,1487.8585190000001,837.809996,2586.079991,8231.249971,5267.939973,3233.460006,1565.4099800000001,1926.950012,2439.159981,827.813334,2780.369996,1669.379996
2019-08,1125.56,1425.1499900000001,999.6099969999999,4959.839948,2404.7799959999998,1248.210005,792.370001,1833.250008,2401.700011,1583.430008,3479.209993,2606.649985,2000.179999,6865.839965,1565.3499750000003,2862.219987,5951.599976,915.800005,2859.75145,3280.410006,2869.829994,3057.830016,1181.900007,2225.510001,1789.27,2977.533431,1089.8,882.0649970000001,1538.682159,798.139997,2446.62001,7814.359987,5635.770004,2976.28,1582.280006,2007.609996,2375.910015,808.823334,3145.639999,1527.379988
2019-09,1035.1100040000001,1339.600003,967.59,4422.500015,2228.800002,1263.46,723.4100049999998,1697.659995,2280.300002,1446.989998,3123.86998,2424.54,1959.149994,6507.609986,1476.220008,2698.109973,5768.830018,863.1499900000001,2716.414873,3096.430007,2595.760025,2723.419985,1091.089995,2245.039992,1599.075,2775.125396,1032.689993,886.3000009999998,1461.792617,743.259999,2336.700003,7197.389953,5093.480057,2831.47003,1550.32,2153.240006,2309.099997,778.906669,2885.789992,1430.97
2019-10,1204.980004,1518.85,1115.009997,4904.17,2573.020003,1460.1000060000001,833.119995,1955.229998,2632.540009,1593.270005,3443.840028,2659.590003,2278.269997,7544.319977,1686.45001,3157.579987,6973.779934,956.310001,3038.508629,3628.9600080000005,3010.19998,3133.040022,1239.650003,2532.989997,1878.475,3097.408013,1190.890003,1096.334994,1763.866278,884.56,2761.7200159999998,7773.790009,5720.759977000001,3359.9000240000005,1813.370005,2527.530015,2561.360015,909.223339,3239.259964,1573.3099950000003
2019-11,1081.860006,1325.799993,1003.739999,4650.669983,2166.079995,1318.529992,755.5699970000001,1523.469978,2165.309997,1336.5,2936.679993,2390.199981,2194.0499919999997,6317.439971,1519.2999869999996,2637.859986,6402.140013000001,849.699996,2589.483742,3496.059999,2677.430022,2653.170013,1057.810002,2300.739977,1637.605,2857.709031,1106.349997,1053.1249990000001,1502.054269,867.740002,2570.790006,6968.689971,5214.869994,3148.629988,1610.480008,2316.499993,2417.249993,795.443334,2960.410018,1393.7199859999998
2019-12,1110.180006,1427.829995,983.990004,4888.330031,2280.270006,1376.679987,814.979999,1617.010003,2199.369996,1433.749998,3184.439973,2488.410008,2382.669997,6356.6300329999995,1589.119989,2709.539956,6934.679963,948.9599940000002,2689.999978,3719.6200259999996,2993.100007,2870.09001,1143.449987,2484.360016,1780.03,3008.762559,1193.430005,1179.422503,1500.969009,951.09999,2776.279977,7363.789978000001,5692.400026,3402.779953,1760.869995,2667.370003,2577.579996,836.856669,3118.629991,1458.590003
2020-01,1103.270005,1626.309998,974.3900059999999,4926.869995,2395.859969,1452.149986,870.510013,1653.850006,2215.119994,1469.240007,3273.29004,2416.890006,2457.429994,6406.830018,1597.649993,2675.670005,7007.210021,964.390008,2767.657746,3740.049989,3093.729996,2969.609984,1185.459997,2529.959999,1765.445,3093.135451,1094.630006,1285.267497,1545.116293,957.319999,2666.890014,7839.339994,6119.02005,3494.720002,1749.609984,2497.900011,2734.939981,813.4766619999999,3259.330031,1424.260008
