Date,AFL,ALB,AOS,APD,ATO,BF-B,BRO,CHRW,CINF,CL,CLX,CVX,DOV,ESS,EXPD,FRT,GWW,HRL,IBM,ITW,JNJ,KMB,KO,LOW,MKC,MMM,NUE,NVDA,O,PNR,PPG,ROP,SPGI,SWK,SYY,TGT,TROW,WMT,WST,XOM
2019-04-30,4202800,1239900,4882200,1425600,779900,3315500,920400,2914600,880300,4050200,2439900,21431500,2291800,499100,1414300,534200,1038200,4314400,4852185,1685400,6003700,1934200,17912900,3367100,3000000,5431036,2729500,36292000,1947797,4260800,894800,595800,1066200,1733100,2444100,5339800,1152500,18400800,226500,13721500
2019-05-01,3472900,1045500,1846500,974500,666600,1248300,1113100,5235600,586800,3919100,4161900,10097000,812700,368400,1316500,317200,594900,2184500,3194170,1422600,6656300,1526800,10551200,2953100,1000000,4566926,2237600,35428000,1432416,2318200,794700,447600,1113900,1503600,2263600,5463200,975800,16011600,426100,13909800
2019-05-02,2559200,2306400,1127100,1404500,504900,1079600,920500,3730700,752000,2209900,2018600,9495600,914600,261700,1024200,493700,466600,2595600,3704304,1017700,8835600,1013800,8724600,3206000,1000000,6763260,2404700,39468400,2289595,1816900,809100,282800,1373400,1245700,2516700,4456300,1008100,15021000,208700,15360400
2019-05-03,2249700,1515800,775600,1268000,459100,702300,766700,1673600,474600,2436700,1169600,7364900,974300,220100,703800,444800,556300,1828200,2698575,669800,5281600,1073900,7076900,2575200,899400,5678249,2104800,33682400,1195572,1168200,686600,221000,1129000,856800,3076500,5774300,537100,15950700,433500,12180700
2019-05-06,2306300,1968300,1569800,2010900,604900,585500,1034800,1144900,402000,2383300,1305400,11035000,1018900,159800,1216500,328500,499500,1994100,2921792,816000,5818900,1821000,8657800,2730500,2000000,7795050,1680200,42217600,1272146,1629800,815600,242500,973100,1928500,4149800,4008600,943300,13841100,444000,13367100
2019-05-07,2950300,2447500,1176000,1556700,793200,860500,785700,1769000,527800,4125500,844700,9165200,1358400,239300,2249800,450800,602000,3110300,4944233,1661300,6606700,1174300,12487500,4885500,2000000,6477058,2182400,55522000,15197542,1873700,1217100,301600,1078600,1220000,2409600,4437200,1419300,13726800,279700,13498800
2019-05-08,2641700,3919100,1399300,1500100,930400,802600,913500,2017800,547300,3273900,970200,6229000,1206300,226100,1421000,419900,378400,3616600,3994569,1009600,4667300,1047100,9281400,3366500,1000000,3576638,2770100,41916800,3430162,1489000,697300,260200,1242100,1603700,2559900,3997700,894900,17646000,307900,11352900
2019-05-09,3091500,3164500,1391400,1271200,627300,868200,2026000,1783500,555800,2415200,1074600,16496300,753900,240600,1365200,402600,490500,3281900,4385564,1421800,5604200,1184200,11450500,2919700,2000000,6097447,2146400,66024800,3517056,1362800,1045300,278200,1331300,1456800,2492900,4549300,1144700,18720300,180800,13221600
2019-05-10,3742000,2037100,1090500,1329400,708700,1187500,1161200,1349300,449100,2341200,896300,8787900,1081700,277900,1472500,623700,456600,2475800,4160570,1038400,4771600,942100,9653800,3795300,1000000,5994711,1950900,56950000,2581858,1409500,1345900,309200,900200,1453700,1905300,5200300,1627900,26228100,192200,11056000
2019-05-13,4021300,3315500,1712100,1422400,1166500,1158400,957500,1388300,710500,2601300,951700,7701200,1094300,370000,1341300,1015300,687600,2420200,5186068,1879100,5560000,1538500,11911500,4714900,3000000,7076373,3261900,65691200,3750185,1279100,1138400,340000,1538200,2226000,2160200,6055200,1602500,22084500,201700,12176100
2019-05-14,3154600,1605800,1798500,1218500,787100,1693800,2335400,1057800,1621300,2855400,870600,6858500,1087700,210200,1287700,582200,354600,2898900,3431298,1279400,7179400,1272300,16844200,2961900,2000000,4800744,1837600,52488000,2271948,1403500,759800,262700,1117600,1431200,2068300,8063100,898500,19061100,470300,10548400
2019-05-15,3574900,2012600,1773000,920800,725100,959300,904100,915500,858000,4454400,685600,6945000,1030400,183400,1181100,765000,363400,2070700,2668346,1995900,6429400,1138200,11422500,5104200,1000000,3606538,1409600,50232000,2702911,1156800,1072800,288900,1232500,1967200,1594500,5578900,928100,20220900,214100,8918000
